text,sentiment
aww thats nice,positive
i love them,positive
hurtin,negative
hope you had a great time,positive
d loads still using snail mail,negative
first day on new job bought a new clothes already and it was off for employee discount,neutral
you must be doing different poetry to me all we get is catullus some ovid and and an extract from the aeneid,neutral
not an easy place for me to access taskbased ux is something ive been thinking about id like to hear the criticisms,neutral
i would sleep good rice lmao,positive
haate,negative
got a new dog,neutral
you know youre too old to party like a rockstar whenyou realize no one else claps when they dance its just you,neutral
so bored,negative
and i think you should come home now,neutral
sorry,negative
i feel unloved,negative
my gf has an interview with them this week,neutral
last days of schoolim sad but happy but anxious,neutral
i feel like,negative
ok babe gotta go back to work tweet you later,neutral
everything is cool now i wish the boy was able to talk,positive
thank you,positive
on myyearbook myspace here and messenger,neutral
dancing was alright to,positive
he fun,positive
attics to eden out today,neutral
duckraces in the bath dont quite work especially if you have no ducks,negative
send that along lady,neutral
so clumsy lately,negative
you people are missing the point here instead of loosing followers hes gaining over new ppl in hours,neutral
trying to fix my background,neutral
so sad i miss my babies,negative
got insurance forms for polo feel a bit has to be done though,neutral
hi who is mary poppins,neutral
legs are a still hurting a little,negative
good time,positive
my body decided it wanted to be sick,negative
get her clogging shoes,neutral
glorious day in glasgow for a change and im working too much to do to even contemplate knocking off early,neutral
good friends,positive
free da,positive
not fair,negative
too many boys are lacking those,negative
fun,positive
you are right,positive
l very special,positive
as grea,positive
a great song,positive
well nothing i can give you a pen,neutral
aww i wanted to see some more of greg,neutral
im so sorry i hate those kinda times,negative
im bummed,negative
ikr,neutral
making the treck from lafayette to batonrouge solo,neutral
to atl in the morning then back to clemson,neutral
i nvr wanted may to come to an end,positive
so lucky to have such a gorgeous wife,positive
everybody is sick,negative
im sorry,negative
you have a plurk account too,neutral
brand new bo,positive
i will take a pic for you,neutral
youll be miss,negative
happy,positive
if you have cents u can buy a share of gm stock probably cents tomorrow,neutral
not looking forward,negative
i never thought falling in love can cause so much pain good thing that im so over that phase,neutral
stupid,negative
im getting better with the pain though i want to give my poor liver a break,neutral
upset,negative
i gave you a big mention on the godtalk radio show last nightlast segment of the first hour podcast format avail soon,neutral
believe,positive
good morning everyone once again a happy mothers day to all the mothers out there i hope you all,positive
samberg and timberlake collaboration in a box,neutral
only oral left then i have to learn them all but oh well at least i dont have to write them,neutral
cool,positive
so annoyed i missed mitch benn,negative
chillin an havin a drink,neutral
oh i wanna buy just that girl drew seeley but im not allowed im talking itunes store,neutral
im really gonna mess this uup,negative
ahh,negative
i hate it when that happens exciting though,neutral
thanks,positive
what brody how dare u,negative
getting ready for a long weekend of workfriday saturday and sunday,neutral
selfishness,negative
everytime i send an email to my coach i feel a need to practice balls lo,neutral
are you coming to the wedding i want all of his friends to be there right sug,neutral
not fun,negative
tweetsjust living the rockstar life one tweet at a time,neutral
norwood house party haa yaay smiles,positive
shots of espresso aandnothin,neutral
just hope my ceramic crown doesnt shatter some time later,positive
happy,positive
makes sense,positive
ave,positive
hmm ok next time i see you il just get you to explain to me the whole process haha,neutral
happy anniversary to you,positive
cart path only,neutral
devastated,negative
i noticed that you were on the same hallway no worries about the bbqim hoping there will be more to come,neutral
love,positive
neat,positive
thank you,positive
enjoying,positive
haha yall should really hurry up and announce australian tour dates its been freaking months,neutral
as clea,positive
they paid you to go think before voting each vote counts,neutral
dã¯â¿â½jã¯â¿â½ vu changing out of my gq outfit,neutral
excited,positive
selfportrait week would you like to join in,neutral
love,positive
i am letting you read this,neutral
lame,negative
there are wonderful people in my life who i think i can handle only in small doses there is just i cud be with every hour everyday,neutral
hopefully,positive
but i thought summer hours meant i was supposed to get to go home at,neutral
thanx da messages,positive
my heart aches for her children,negative
y typical,negative
i am jealous wish i had some,neutral
rofl,positive
if im up with brooklyn when im suppose to sleep inill call you,neutral
thanks,positive
good,positive
chino gentleman jack is pouting because mommy is gone to dinner,neutral
toy story june i cant wait that long,neutral
so funny,positive
decent australian guys are hard to findtrust me youre better off with an american one,neutral
o good,positive
lovec,positive
thanks,positive
t better,positive
feet are really hurting now thought,negative
wish,positive
is feeling fab today and missing my boo,neutral
o beautiful,positive
sucks for you,negative
rubbish,negative
nice,positive
sick,negative
nice,positive
haha this tripped me up once when i was talking to harvard i read it as an aussie automatically came off as an idiot,negative
hope i get a job cuz we need an apartment im drunk miss my lil punkin tehe,neutral
i think its like degrees here,neutral
thanks,positive
have ordered the cuutest invitations for my new nieceã¯â¿â½s christening and they just arrived back in sa sorry that i wont make it myself,neutral
lol just remember how it was after my car accident,neutral
i dont know what this is all about but im goin to sleep,neutral
too difficult on the upkeep,negative
out shopping,neutral
those are the things that mean the world,neutral
hopefully,positive
im a little hungry a nice bowl of spicy lentil soup should fill the gap,neutral
disappointed,negative
great show,positive
i need a hug gotta find another place to live and a new job,neutral
forgot about my old twitter account please follow itsjeff i will stop this account sooni prefer the address that doesnt have my age,neutral
thank,positive
enjoy,positive
cramping,negative
not if im not on the list,neutral
sorry,negative
its after an man is texting me telling me that he wants to come overi say im tiredlolda punk says hell bring me redbull and kfc,neutral
ahhahahaha ariyan i want to listen to that now i used up bandwidth by downloading a hamish and andy podcas,neutral
i foot think it will let you since its international but we have twitter haha,neutral
holed up quite nicely for hours this is one of those times i regret never having married or gotten a cat,neutral
im relying on my mobile which lacks reception trying to help but just looking silly,negative
watching baby mamaagain and eating pineapple orange raspberry sherbert,neutral
sad,negative
darn,negative
lots of decisions to makei need an assistantcooknannychauffer lol lol but real,neutral
awwh sorry well be glad when youre close,neutral
i dont think the neti pot is working,negative
so early dats my time,neutral
demi if you can i think itd be amazing if you covered thats what you get by paramore haha im sure you know it,neutral
broken,negative
with my jordie for a little bit,neutral
lonely,negative
realy cant sleep,negative
not super keen on the drive home through the rain additional concentration required that i dont really wanna deal with,neutral
with winds,neutral
bad,negative
i actually really liked merlin last night some parts were a bit eh but the part where that chick was singing was like whoa,positive
enjoying sunshine in the park with friends pale shirtless footballers are not attractive im afraid,neutral
bought some little plastic personal wine bottles at jewel perfect for rooftop boozin wish i didnt have to wait so long,neutral
had a nice pre mothers day dinner out,positive
happy,positive
i think i did okay on my math test today i really really really hope i did if i didnt i swear i will get so mad at myslef,neutral
remember and drink plenty of fluids and no buwieser dose not count,neutral
lenos last show tonight,neutral
re meetings you were right my afternoon has started to fill up,neutral
barely,negative
yeah ecpm is going up and down badly hope things improve,neutral
sad,negative
top,positive
good,positive
t doesnt make sense,negative
got a deadline to meet,negative
the best lol,positive
yay you so proud of you and im not even being sarcastic even though you told me to shut the up,neutral
i actually love itit was so nasty lol,neutral
missed,negative
im kinda pissed,negative
i thought you would win,negative
totally broke is right i have to wait till monday to get paid though boohoo,neutral
thanks for saving me the money,positive
wishing things were different,neutral
happy monday tweeples hope it wasnt to hard to get out of bed and back in gear,neutral
its kind of hard,negative
the book bloggers panel is not listed anywhere in the program be there tomorrow at in room,neutral
looks yummy,positive
goodb,positive
laiter we already discussed this today but yeaah,neutral
thanks,positive
pretty satisfied thank you very much,positive
elrumi i just do english with them half my conversation is in english anyway fii mushkila maa al modem wa al router,neutral
are a true fan,positive
sick,negative
you burned yourself too so did ohh no xoxo,negative
wrong,negative
garbage,negative
morning everyone another dat of school,neutral
someone i work with today told me that if i took a real age test it would tell me im,neutral
im eating eggwhites right out of the pan,neutral
aahh showers are great,positive
why is it your last ever uk tour x,neutral
very sa,negative
they better not be out,negative
man i up,negative
is missing someone,negative
cant seem to sleep,negative
o aw frank i like that movie its cool i dont fully understand but i think thats cool,neutral
hair grow back,neutral
waah were no longer your peeps,neutral
we dont need no education,neutral
just file me under seduced sweetie,neutral
great,positive
sky man is quite friendlyand likes joey still annoyed that i got woke up about half eight though,neutral
awesome,positive
summers can be fun,positive
lmfao,positive
i miss them,negative
maann its holidayzz,neutral
what happen to the maids of yours quit once again,neutral
sucked,negative
watching ace of cakes its suwweet they use alot of fondont or howeva ya spell it,neutral
anyone else go train tripping on national train day leave a comment of your adventures on the site,neutral
great,positive
i tried td but it battled with over my processor nambu is really good but unintuitive,neutral
im at church nowbout to od on my smoothie bc it might be melted when i come back,neutral
awesome,positive
amazing,positive
killed ba,negative
i need a haircut i should not be able to pull my hair into a ponytail,neutral
bad,neutral
i tried replying to your mono lake tweet but dunno what happened just said i know that lake very well,neutral
i know its in hd but comcast doesnt have it,neutral
eyes wide shut is one of the weirder movies ive seen wanna sell me just so i can sleep in my apt by myself,neutral
people r weird,negative
toodaayy,neutral
happy birthday and congrats wish you were here for your ladyill take care of her,positive
amazing,positive
jummy,positive
made my pin hole camera todaay need to get some film now,neutral
hello back to work today after a week of vacation,neutral
as looking forwar,positive
if hobo and i come next week were buying you all a drink,neutral
its funny,positive
morning miss sarah cyrus whats up,neutral
gosh today sucks,negative
okay this weather isnt cute sundress friendly i dont get how it could be so warm one minute and cold the next i was freezing,neutral
best best,positive
grenade the link,neutral
not me sigh,neutral
feelin like blah,negative
s disgusting,negative
bach id suggest pta for such alerts but pta generally stands for parent teacher association in the us might confuse tweeps,neutral
negghead mix on the air,neutral
if you come to a gig in dublin you can be my dancing partner whatcha think hehe,neutral
not looking forward,negative
lol i still would have got a look at his face just in case,neutral
oh okwere supposed to be going to see star trek on sun for daves bdayat least its not shatner,neutral
how do you spell pphhtt,neutral
good luck,positive
back from driving and now back to bed,neutral
does it mean you will b going bed earlier on mondays,neutral
hope everything ok,positive
so i tried to send you a direct message and i cant because you arent following me,neutral
burnt,negative
ok deleted all messages and hope they dont come back,neutral
here at work still feeling the pain for my friend wish i had a magic wand to erase all the madness,negative
is,negative
tonight is the last jay leno late nigt show,neutral
cool,positive
love the idea of,positive
benefiting th,positive
didnt sleep good last night,negative
energized for another week,positive
i see you there,neutral
missed my friggin hair,negative
just got home and i got to freakkin clen,neutral
no sir they did not i was amazed when i woke up this morning,neutral
i watched it all online httpwwmusicistheheartofoursoulcomsearchlabelniptuck has the last episodes of,neutral
wow seems like a lifetime since i been in herenever change to talktalk home phone n broadband not been workin ova a week now,neutral
this is a joke surely,neutral
a fantastic,positive
cool what did you get,neutral
intrigued,positive
lovely,positive
hope everyone has a great bank holiday,positive
boring,negative
job not so much,neutral
greatt,positive
going to get my blood taken,neutral
am still tired,negative
working the preschoolwaiting on the kiddies to get heremaking dunkin donuts coffee,neutral
my tree tipped over in the lawn,neutral
killing me,negative
hard,negative
m sorry,negative
love th,positive
as much as i loved texas my dislike for needles could interfere,neutral
good,positive
missed,negative
o good,positive
i totally lost rip,negative
watching everything is illuminated and,positive
my besties if only was there,neutral
enjoy it though,positive
you hungover never i am not hungover i dont know how i think it may be my new superpower is la whalen at home,neutral
i really dont want a limo service to take me to the airport i want him to ok soft moment dont get use to these,neutral
winner,positive
im having a bev by myself too sometimes you just have those kind of days and you need to relax,positive
is enjoying the nice weather but has been stuck indoors writing an essay for most of it,neutral
im back woo,positive
thank you for everything always,positive
outta space,negative
that post was for,neutral
sounds nice,positive
nice,positive
i love storms,positive
metro from trader joe to closed so many firemen and cops wth happened walking home bus cant go further ohh,neutral
yippiee,positive
tired,negative
time to bed now,neutral
lovely morning to cycle to work but met with a degree office,positive
e amazing,positive
youre just jealous,negative
my kitchen is gonna smell,negative
when i start cloggin up my own twitter feed its time for me to go to bed nighty night be sure to go to the tweetup and meet me,neutral
pleeassee,positive
but dont worr,positive
cool,positive
yeah i imagine you did,neutral
like,positive
best roast,positive
getting ready to go to the comedy club and listening to some qtip whos on ichat or skype right now i need an outfit critique,neutral
great,positive
aarrgghh fuka hose ha,negative
what are you doing up so early,neutral
cleaning,neutral
i wish i could take my pillow to school dead serious,neutral
dead,negative
beers whiskey awesomness work in hours sourness,neutral
wow that is a scary statistic,negative
nvm ill stop whatever see you i guess,neutral
lights off its presentation time,neutral
i know its so crazy i love using it too have you seen my yt recently i am a partner now,positive
bad,negative
thinking about you httpmypictmefuz,neutral
sadly,negative
we in bed now,neutral
though,negative
i felt horrible poor thing,negative
finally home after a big of travelling ahh now time to realx,positive
whatever u want us to wear stick show off around dumbo brooklyn manhattan,neutral
lazy shiit,negative
this is to all the people who have myspaces please add httpwwmyspacecomfiftyfivethreads its my friends clothing line,neutral
homey missed da bus,neutral
stomach ache totally sucks,negative
assignments,neutral
just found about ten typos in one story in the plain dealer including one run on sentence it happens more and more these days,neutral
isnt a bit of little britain in all of us,neutral
i dont think,negative
when youre driven to be in the theatre you develop a thick skin yos been auditioning since she was gotten part,neutral
the night continues w my fav mazie kristina ericka robin,neutral
amazing how the house doesnt look any better for all my efforts,negative
holy,negative
sprawled,negative
omg tweets till and only about tweets difference btween b and comedyqueen,neutral
i cant sleep i dont deserve this,negative
enjoy,positive
hope,positive
the closest is a good two hours,neutral
alrightt twitter i have netball noww this is my twitter haha byee,neutral
good day,positive
im lovin the first ladys fuschia sheath dress,positive
editing all the photos i took at my brothers soccer game hes got a lot of work to do as a coach,neutral
doesnt exist anymore,negative
i have a sunburn line on my back from the tag sticking out of my tank top all day ugh i need aloe vera went to the park again,neutral
virus hunting on computer always wondering what it will destroy,negative
happy,positive
great,positive
hayes im at sharkeez,neutral
hes my mothers favorite it was so hard telling her,neutral
started the week with a wedding now ending the week with a funeral,neutral
hiyaa just got back from the scan wow was amazing i cried haha,neutral
would love to catch up with yo,positive
goodnight everyone happy mothers day to all of the mothers out there,positive
late,negative
fantastic,positive
unfortunately your fix didnt work oh well im lovin me some peoplebrowsr anyways,neutral
excited about the new pushing daisies episodes but it makes it that much worse i had finally gotten over the cancellation,neutral
s relaxing,positive
time really flies my frdhows you lovehunting mission going abt time to bring the sexy yu yung jacket out,neutral
play,positive
yay,positive
yeah it was nite we went to palisades to see star trek i cant remember it i said it while we were in the car,neutral
jealous,negative
backache,negative
sb i swear mine was evil it was green and everything lol,neutral
ll mis,negative
im ok my ipod,positive
like,positive
this is a travesty,negative
omg i just slept like in the last i think im dying or something reminds me of catche,negative
cause i wasnt there,neutral
missed bus walking miles,negative
just got home no rosie surprise of smiles hugs kisses waiting for me,positive
on my way home from nythen sleeping,neutral
sufferin already,negative
funeral at today is going to be bad,negative
busted,negative
i wishh,positive
hope,positive
yes we can make it,positive
sure is rainy the storm has left everything everywhere would love u follow us,neutral
yea dongg,neutral
doesnt seem to work,negative
missing,negative
yay,positive
nah is next week honey ma fault for confusin u,negative
understandable,positive
woke up early still sick,negative
ooh yeaah food time ive found my seat at this bbq right in front of the food hahaa,neutral
happy mothers day amma i made u cake remember u loved it,positive
lol ok we gotta get the folks from microsoft and in wa to hire me,neutral
sorry,negative
not so tired today,positive
quite miffed tbh,negative
his beard is addressed in this weeks lols,neutral
looking for a vibrating phone is like trying to find a feeling,neutral
long delays,negative
gutted,negative
pebbles thrown at windows should get someones attention,neutral
back to roseburgand an empty apartment,neutral
e sickee,negative
hate,negative
fml,negative
i finished s zombie chronicles a few days ago it was bittersweet now i need something new for the gym,neutral
grri want you to come kiss justice for me,positive
i have a real sleeping disorder,negative
sweet,positive
just installed youtube downloader anyone knows how to make a trailer out of videos,neutral
way i bought it today aswell now i have it twice cos i pre ordered it aswell cya later x,neutral
miss,negative
i love s diagram of the mainstream adoption curve,positive
a on my french paper,neutral
tired,negative
waitwhy didnt i know about this wedding arent i supposed to be in yours and vice versa btw i know its not yours,neutral
i want to change my twitter name but i cant think of anything,neutral
worry,negative
it looks like it might rain,neutral
foodfoodfood,neutral
super duber high,positive
im sorry,negative
bullet train from tokyo the gf and i have been visiting japan since thursday vacationsightseeing gaijin go,neutral
i called but you didnt answer,neutral
says gud eve guys,positive
have fun with your princess,positive
my mom is sick so,negative
i am sick,negative
im here,neutral
r that squeeze bacon looks like poop,neutral
stop your twittering maryland cookies bgt,neutral
sukks,negative
i soo need to catch up on all this new stuff going to the airport to fly home from vegas,neutral
restful,positive
amazing,positive
dirty,negative
not really all in all if im not mistaken mga less than each lng ang gastos namen,neutral
so im listening to this random playlist and its leaning toward serani,neutral
oh im so happ,positive
sorry,negative
how it was slept,neutral
the rain bring back some memories,neutral
going to leeds,neutral
ahh ikr hes the cuteset thing ever plus it reminds me of twilight which is good cause i loove it so much,positive
yes indeed,neutral
peanut thank you now well just have to see how long it takes me to finish the thing,neutral
here come the hawks the mighty blackhawks,neutral
where are you going tonight,neutral
wont let me watch,negative
my daughter went to a bday party today caled grace of cakesthe little girl is named grace they made cupcakes,neutral
you guys didnt call or come over did we do something def give us a call tomorrow and hang out with us chick,neutral
dramatic,negative
i would think youd want to follow me,neutral
unfortunately,negative
certain tweets i write are on the spot messages for a person group or pornstar and those tweets usually get deleted within the hour,neutral
u suck,negative
you realize you just did a solid better than a fullpage in the ajc,positive
k i can hack if i have directions have multiple social net sites i think this is a cool add but we chose not go mu,neutral
a great,positive
yay ill do you a heart mk shout in a sec pam,neutral
good,positive
lol seriously fail sigh,negative
nicest,positive
building websites,neutral
love,positive
glad you mentioned it last night watched it again,positive
youve been featured on ykyat,neutral
beauty,positive
gotta shower then go apply for more jobs hopefully no creepy old men will be working again today shudder,neutral
me too,neutral
i got soo hype,negative
lovely,positive
wishes i could be the one going to our conference in the bahamas next week,positive
call me einstein got math test results a hell yess,positive
amusing,positive
i would get a lot more done if i could list items on etsy on my phone can do everything but upload pics,neutral
time for bed oh how i wish someone was laying next to me,negative
my hairs straight lmao,neutral
ts nic,positive
sick,negative
missed,positive
i looked for you but couldnt find you amongst the crowd,neutral
fabulous,positive
aw you level up haha but just try to manage your money,neutral
wanna come with before we go to mykas party,neutral
no problem,positive
nice,positive
,negative
no but it does amazing things with keeping all your online conversations in one place unfortunately that place is google,neutral
love,positive
delicious,positive
i miss him,negative
believe,positive
im drawing pictures to show how much i miss him,negative
burnt,negative
ironclad determination,positive
i cant im studying so i dont fail come over ill make u some tortellini or chicken or a chicken salad,neutral
its pissing me off and not letting me follow ericka,negative
thanks,positive
ofcourse they wait until the last minute to run an experiment at workthat i have to supervise aka i dont get to leave work on time,neutral
i cant help it if im a grammar nazi,neutral
recording new songs,neutral
trashed,negative
oh thank god so sad that im this happy,neutral
love,positive
i cant do any mor,negative
alot of new pictures tweets some really old some new check out the new ones if you wish tweet,neutral
shhweetjayz bros back from from prom,neutral
sweet englands becoming lamer and lamer since you guys left,neutral
happy,positive
should work fine as far as i know shrug maybe send a tweet to,neutral
high five to all of our fans,positive
hmmyou cant judge a book by looking at its cover,neutral
yummy chocolate cakewish even i got one for my bday,positive
hubby is snoring but i still love him,neutral
great,positive
just found out i have to leave my lovely flat and been waiting hours for a plumber still no job news not a good day,neutral
bored,negative
i am mad bored,negative
yaayy,positive
its already been a crazy morning and its only,neutral
im so broke life isnt fair,negative
now i wish i hadnt,negative
finally made it to,positive
why hello there hows life on the other side of the screen,neutral
going crazy the pain is unbearable i gotta wait till thursday,negative
impressed,positive
excellent,positive
nothin better then ridin in a car with your sister while blasting th cb and lady gaga so loud you cant hear yourself screamin the lyrics,positive
wishes,positive
good,positive
i would but i dont know how to do it from the phone,neutral
aww man arrived howto guideless,neutral
i will,neutral
tweep tweep haha,neutral
does anyone update the photowalkingutah google calendar with photowalks looks like ive missed a few,neutral
good,positive
mean,negative
i hear you sister same her,neutral
impose your formidable will,positive
why u have to bring it to you like the team,neutral
it can only get better,positive
why do you hate me,negative
i love my mom shes the best mom on the planet,positive
cute,positive
rubbish,negative
expected a silverlight content on m vine site httpwwvinenetdefaultaspx they realized the reach of flash lol,neutral
o okim jealousi wish i was in bed,neutral
i cried too,negative
hopefull,positive
struggling,negative
agrees,neutral
loves,positive
lost,negative
im afraid,negative
e always amazing,positive
open office writer is weird,negative
hopefully,positive
happy mothers day,positive
e great at it,positive
looking forward,positive
had a good time,positive
just ate at chipolte ate more than i usually do now im ew full not content full but ew full,neutral
problems,negative
almost done with my first day at the spai missed this place then headed to fort collins to close down casa de kent,neutral
a poor pigeon,negative
its tragic,negative
tired,negative
i hate pc,negative
likes,positive
very cool,neutral
o quite like lily allen and her music to be honest,positive
thats great i will have to do the same as i was forced to miss it i had to leave for work,neutral
i like,positive
refusing,negative
success after much grumbling abt how we always waste money on useless gifts mum sees the ipod nano and loves it,neutral
too bad my cable is off as of friday,negative
woke up early dang man i know im not going back to sleep,neutral
after hearing susan boyle sing she came off as the most beautiful person id ever seen i feel bad for my first impression though,neutral
well done,positive
mcfly lol nah of course youll get the dvd first since youve already ordered it ill sign up to bebo on tuesday then lol,neutral
realise what tourture,negative
bad,negative
its sad,negative
diego i know lo ame a jack,neutral
congratulations,positive
up was pretty good it was kind of depressing though,neutral
im having fun aiming them,positive
have a great night,positive
im not feeling so good,negative
well you can lol,neutral
waiting on the cue for kenny,neutral
oh godd,negative
new forest hoping the walk would lose me some pounds,positive
yep i think i might have just made the decision to go head first we may be witnessing a historical moment real talk,neutral
just ran hair first into spiderweb full of baby spidersi almost set my own hair on fire to get rid of them almost,neutral
unfortunately,negative
same here mm macrina bakery,neutral
not happy,negative
misses,negative
was laughed at today for being too hopeful with the things,negative
sure look good,positive
did you have an amazing time,neutral
awesome,positive
miss,negative
its not as good as,negative
man i aint been without vs presence in a minutei feel like a lil kid with no momma,neutral
si love my friendsi hate how they unintentionally make me feel inadequateineedhelp,neutral
wonderful,positive
millenia mom i think i am in that category,neutral
sounds like a great way to to start mothers day enjoy your day,positive
is soo waking both of them up on my way back to sb good night america,positive
i lo,positive
i really fancy a frappuccino from starbucks right now,positive
sad,negative
thunder is scaring me,negative
at least you have a next year into the big wide world for me,neutral
love,positive
hate,negative
awful,negative
haha ashley tisdale is on again,neutral
miss,negative
happy,positive
both at the same time,neutral
hurts,negative
glad its nice there,positive
mm yes please,neutral
trekked out to the wrong place,negative
ah just finished making tea for tomorrow night,neutral
because the one i was having at that moment woke me up,neutral
look how choke on this talks to me,neutral
i was too late for the contest,negative
missed,negative
e fab,positive
happy,positive
law of attraction some assembly action required if u have asked enter medical school u still need fill out the application,neutral
name,positive
conference call arranged for today just blew my leaving early out the window,neutral
badly,negative
and i must laughy,positive
days text messages this month,neutral
upi need coffee this new day in my lie,neutral
fat and sad,negative
sadly,negative
good luck,positive
dead,negative
yes i can imagine i need my morning coffee otherwise i cannot function have a good and relaxing sunday,neutral
come an add new twitter only for fans,neutral
im liking this place more and more,positive
bad,negative
gal of course cough i mean no hours extra testing and debugging time,neutral
soo tired yesterday long day at the office just did dinner and crashed,negative
fantastic,positive
omg,positive
want to hear something funny,positive
agree,positive
yay for st louis traffic,neutral
yeah daw aww wear a mask na,neutral
break,negative
blow me away it is raining harder here yay you well done,neutral
i got rained out at the beach,negative
drinking lemsip cause apaently i need itt im not sick,neutral
great,positive
that would be awesome i think i hate how expensive phones are,neutral
handy,positive
try thinking of something calm and peaceful such as relaxing on the beach,positive
im watching the harry potter moviee,neutral
stepbystep im leaving it all behind,neutral
wrong i,negative
based on the similarity between may the be with you and may the force be with you today its the star wars day,neutral
exciting,positive
i love to travel,positive
if i ran the mile to mcdonalds and ran the mile back would that burn off a double sausage and egg mcmuffin lol,neutral
its raining so chocolate world it is,neutral
and now i smell pancakesor maybe toast or something delicious but no one is at my place cooking,neutral
how come its so cold now a few days ago it was wicked nice out now i feel like i need my winter coat back,neutral
gutted,negative
super,positive
i have three hours to do my hair and it still wont be straight,negative
could you post a link to the internet version of the times so that i can read it plleeaassee,neutral
i want my real keys back,neutral
cause theres no party,neutral
all is quiet in twitterland,neutral
friday night and working,neutral
made me feel better,positive
fun,positive
why dont you ship it to japan,neutral
fcking,negative
live now live dj jayem esr click httpwwkrisisdnbcomlistenasx,neutral
lol haha fresh to death lol ha ha i love and miss u id almost given ã¯â¿â½ on u cuz u nvr respond but u did today luv,neutral
i am so so sorry to hear that he has parvo good vibes comming your way,neutral
im on twitter mobile confusin lol im knda slow,neutral
oh that makes sense well you are officially my first from a celebrity,positive
wanting to go out apparently no ones available,neutral
gloomy day cant stop my bliss,positive
woo hoo its time to play name that twune,neutral
thank you,positive
panic,negative
i now have brian freeze,negative
ya know why today sucks,negative
i cant believe you are closing and ive never had a chance to see the show good luck to everyone you are all stars,neutral
really degrees as the high and im on my way to work hagg lake tomorrow is going to be especially bomb sauce,negative
hell of a lot to do but they say you shouldnt complain theese days who are they and can they help me in that case,negative
in my nice big bed,positive
ruined th,negative
k good question could they,neutral
for danica and your team not the end of the world now is just hopes for a great race,neutral
hopefully,positive
having a good day at work lots of sales but boss is under foot shes a nice person but i dont like the boss bugging me,neutral
pictures of your bliss in jpeg format sorry its message board terminology and u dont play wus on the board,negative
last tonight show with jay leno tonight,neutral
still feeling blah,negative
i hear tonight is the last jleno show,neutral
was watching downstairs now getting ready for bed piano in the morning,neutral
my mind is calm my heart is happy life is good would it be ok if i took your breath away,neutral
homeless afterjune,negative
i can haz beer too oh wait im a work,neutral
love,positive
finished my lunch,neutral
crooning,negative
was going to grandpas place for lunch to celebrate his just found out its changed to a chinese buffet bringing gasx,neutral
heyyhooheyhey,neutral
ooh like what im planning on spending the night in as well,neutral
let me out,neutral
chillin,positive
im getting good,positive
i loved,positive
omg rated stars,neutral
my cat just fell off my bed lmfao bless her she got a fright,neutral
thanks,positive
had a very interesting day yesterday,positive
my last blog is being published on web digest weekly next issue,neutral
miss,negative
d sweep haha p,positive
i follow u lol,neutral
happy to help,positive
havent been able to,negative
dying,negative
passed away in,negative
is going to be in texas in days eekk,neutral
hurts,negative
why do none of my thoughts make sense when im sober,negative
nice,positive
time to take a astronomy test,neutral
about to go to my last theater lunch im gonna cry,negative
missed,negative
feeling breathing believing keeping you on my mind and never ever gonna think to let you go,neutral
bummer was going to try and make it other commitments im afraid got into the way next time hopefully,neutral
i may bea able to help,positive
no more twitter in a while tweet tweet,neutral
britains got good weather i wish i had some of that over here,positive
not really sure,negative
aww,positive
i lost,negative
hope,positive
were english well in parts its weather it is an obsession,neutral
the bunuelos were a huge hit but i had to skip shopping afterwards lets see what kind of trouble i can get into here,neutral
so sad,negative
love,positive
thanks,positive
trudys off burnetthe one up north that no one goes to,neutral
relaxing,positive
i wasnt near him,neutral
amazes,positive
hey you call me this week gotta go hang out could use the destress,neutral
dammit,negative
aamazing,positive
dieing,negative
pages and im done with eclipse,neutral
playing machines in actingg,neutral
tired and didnt really have an exciting saturday oh well hope its better tomorrow,neutral
congratulations,positive
my day is going way too fast,neutral
hey whats up did u like the new episode of jonas,neutral
love a slice,positive
a perfect run,positive
powerdvd doesnt want to play my pushing daisies dvd i only want screenies to make icons with copy protection gone bonkers,neutral
fun,positive
yes you can change your name under settings,neutral
is getting excited for the weekendor hang on i am going to be all alone never mind excitement lost,neutral
is sick and it doesnt seem like im getting better,negative
sold out in stores i dont think so,neutral
excite me,positive
my head hurts beyond much,negative
really cuz kccom said it was releasd here n the main station doesnt even hav it,neutral
beautiful,positive
thank you sister,positive
lucky,positive
my sister and i are suppose to be meeting you today in birmingham please reschedule,neutral
sense and sensibility here we come be,positive
a day is hard to cope with on my android phone when im unable to filter,negative
haha happy star wars day,positive
i dont see it where do u see it listed at cause i dont,neutral
i wish i was in dallas with the kiddnation family,neutral
please please please please let my match be cancelled today please,positive
frustrated,negative
on my way to see star trek,neutral
at home alone with not much to do,neutral
cereal doesnt come with toys anymore i jus been thinkin i was buyin the wrong kinds say it aint so mo,neutral
excitement,positive
happy mothers day,positive
kristen i miss you,negative
darts and lunch at horse brass but no beer for me,neutral
i just put my computer up on craigslist ive had the same case monitor and speakers for over years,neutral
good,positive
lol that was not the year i was born lol,neutral
miss,negative
dont know what to do today amazing weather and im sitting here great,neutral
like,positive
hello new maccy welcome to your new home,neutral
so what does that make a queef,neutral
m sorryy,negative
dragged,negative
my radiator boiled out,neutral
makes sense,positive
excellent,positive
happy to see kurt spin,positive
i know no probs the driving bit always gets to me this time of the ac year which bit of sea are you going to aber,neutral
please please please think of me,positive
all done time to finally start shuting down,neutral
oh girl get that baby going to bed at,neutral
not a good time to be going overseas,negative
hopefully my,positive
